# M_main, z_main, v_vir
4.220720693628822754e+12 5.565723834347012788e-01 2.413643190012346338e+02
4.216334533181862793e+12 5.599935796096193741e-01 2.415048809052614729e+02
4.211948645408926758e+12 5.634153366783229977e-01 2.416451554387153351e+02
4.207563030786889648e+12 5.668376763942429841e-01 2.417851436140344390e+02
4.203177689793138672e+12 5.702606203764311044e-01 2.419248464338881774e+02
4.198792622905575195e+12 5.736841901114932973e-01 2.420642648912826473e+02
4.194407830598806641e+12 5.771084069582778087e-01 2.422033999697718798e+02
4.190023313363199219e+12 5.805332921354982023e-01 2.423422526429974653e+02
4.185639071666780762e+12 5.839588667532182864e-01 2.424808238759890173e+02
4.181255105993339844e+12 5.873851517843662329e-01 2.426191146240194882e+02
4.176871416834802734e+12 5.908121680732472125e-01 2.427571258329977866e+02
4.172488004668388672e+12 5.942399363552816061e-01 2.428948584402919550e+02
4.168104869979459961e+12 5.976684772404932122e-01 2.430323133740773471e+02
4.163722013253907715e+12 6.010978112214416802e-01 2.431694915536882036e+02
4.159339434985762207e+12 6.045279586689684681e-01 2.433063938894725595e+02
4.154957135650564453e+12 6.079589398549195556e-01 2.434430212837287684e+02
4.150575115751017090e+12 6.113907749178962847e-01 2.435793746293597337e+02
4.146193375767538086e+12 6.148234839035335852e-01 2.437154548114998249e+02
4.141811916192493164e+12 6.182570867398876624e-01 2.438512627065732090e+02
4.137430737522588379e+12 6.216916032444030904e-01 2.439867991825820468e+02
4.133049840247469238e+12 6.251270531345900494e-01 2.441220650995559254e+02
4.128669224864924805e+12 6.285634560179726993e-01 2.442570613091861844e+02
4.124288891877086426e+12 6.320008313963727531e-01 2.443917886550146079e+02
4.119908841775235352e+12 6.354391986787315538e-01 2.445262479729431107e+02
4.115529075051205078e+12 6.388785771755279841e-01 2.446604400910827906e+02
4.111149592208772949e+12 6.423189860889764180e-01 2.447943658293368685e+02
4.106770393752266113e+12 6.457604445250155756e-01 2.449280259999330269e+02
4.102391480178974121e+12 6.492029715001241819e-01 2.450614214076950361e+02
4.098012851994333496e+12 6.526465859308973050e-01 2.451945528496623012e+02
4.093634509700543945e+12 6.560913066444783448e-01 2.453274211155189448e+02
4.089256453804159668e+12 6.595371523738060571e-01 2.454600269874279661e+02
4.084878684812295410e+12 6.629841417619279920e-01 2.455923712402185686e+02
4.080501203228838379e+12 6.664322933664410531e-01 2.457244546415811044e+02
4.076124009562033691e+12 6.698816256548342229e-01 2.458562779519089929e+02
3.779463038967288086e+12 6.733321570085715191e-01 2.399551513863792991e+02
3.775106987203083984e+12 6.770405242041425131e-01 2.400929241175828110e+02
3.770751261966873535e+12 6.807502901558853958e-01 2.402304057705659375e+02
3.766395863861373047e+12 6.844614772800280411e-01 2.403675972356371346e+02
3.762040793486287598e+12 6.881741078875999174e-01 2.405044993943226643e+02
3.757686051438319824e+12 6.918882041854225173e-01 2.406411131194106474e+02
3.753331638322375488e+12 6.956037882692321928e-01 2.407774392747498382e+02
3.748977554747827637e+12 6.993208821277357989e-01 2.409134787154078197e+02
3.744623801324784180e+12 7.030395076481512628e-01 2.410492322879193807e+02
3.740270378656629395e+12 7.067596866230856367e-01 2.411847008305347231e+02
3.735917287354954102e+12 7.104814407405509735e-01 2.413198851729101193e+02
3.731564528024635254e+12 7.142047915977529637e-01 2.414547861366220332e+02
3.727212101282487793e+12 7.179297606873140669e-01 2.415894045347079384e+02
3.722860007738620117e+12 7.216563694133789619e-01 2.417237411722412617e+02
3.718508248007623535e+12 7.253846390853937454e-01 2.418577968461767682e+02
3.714156822708572754e+12 7.291145909181708795e-01 2.419915723453425187e+02
3.709805732461301758e+12 7.328462460369081777e-01 2.421250684506549646e+02
3.705454977886404785e+12 7.365796254794335640e-01 2.422582859352428954e+02
3.701104559601516602e+12 7.403147501993705415e-01 2.423912255645465734e+02
3.696754478232489258e+12 7.440516410596230701e-01 2.425238880961516941e+02
3.692404734398497559e+12 7.477903188451744398e-01 2.426562742802327080e+02
3.688055328734380371e+12 7.515308042461021909e-01 2.427883848589953004e+02
3.683706261857142090e+12 7.552731178874875217e-01 2.429202205677512154e+02
3.679357534403173828e+12 7.590172802987623646e-01 2.430517821338582110e+02
3.675009146998484375e+12 7.627633119402659201e-01 2.431830702776694295e+02
3.670661100281026367e+12 7.665112331863417339e-01 2.433140857119872464e+02
3.666313394878382812e+12 7.702610643447913574e-01 2.434448291427393372e+02
3.661966031426365234e+12 7.740128256425106157e-01 2.435753012685071610e+02
3.657619010561577148e+12 7.777665372336681759e-01 2.437055027808468424e+02
3.653272332925132812e+12 7.815222191967117205e-01 2.438354343641801449e+02
3.648925999158944336e+12 7.852798915397557478e-01 2.439650966960274445e+02
3.644580009890871094e+12 7.890395742139829638e-01 2.440944904474715997e+02
3.640234365771860840e+12 7.928012870830777326e-01 2.442236162821342020e+02
3.635889067446240234e+12 7.965650499504156601e-01 2.443524748571419991e+02
3.631544115562858398e+12 8.003308825495378809e-01 2.444810668227919450e+02
3.589222132762340820e+12 8.040988045558686848e-01 2.437526956606459123e+02
3.584880944457169434e+12 8.079070180725066441e-01 2.438816236555875037e+02
3.580540110296946289e+12 8.117173993873312288e-01 2.440102824044051886e+02
3.576199630948524902e+12 8.155299685678366606e-01 2.441386725487801357e+02
3.571859507079610840e+12 8.193447456188800437e-01 2.442667947237766555e+02
3.567519739358766113e+12 8.231617504832632326e-01 2.443946495578663871e+02
3.563180328466505859e+12 8.269810030333277773e-01 2.445222376726731568e+02
3.558841275062020508e+12 8.308025231016514800e-01 2.446495596840252063e+02
3.554502579827551758e+12 8.346263304427229412e-01 2.447766162006835771e+02
3.550164243446205078e+12 8.384524447533452385e-01 2.449034078250393520e+02
3.545826266583481445e+12 8.422808856907684216e-01 2.450299351537501309e+02
3.541488649924233398e+12 8.461116728404486365e-01 2.451561987766705215e+02
3.537151394157881348e+12 8.499448257305840526e-01 2.452821992773665158e+02
3.506074723971790527e+12 8.537803638521521687e-01 2.447872065112662767e+02
3.501740441481288574e+12 8.576462798556305778e-01 2.449132943588477076e+02
3.497406526202022949e+12 8.615146523108564436e-01 2.450391175692135164e+02
3.482044575450269531e+12 8.653855009574471513e-01 2.449063916785768811e+02
3.477712338098562012e+12 8.692705635094988281e-01 2.450319410543784500e+02
3.473380471862388184e+12 8.731581555463283628e-01 2.451572261402542097e+02
3.469048977452762695e+12 8.770482968320144623e-01 2.452822474932998773e+02
3.464717855577956543e+12 8.809410070855978603e-01 2.454070056646895353e+02
3.460387106947181152e+12 8.848363059790128604e-01 2.455315011996304122e+02
3.456056732274268555e+12 8.887342131346404051e-01 2.456557346372983943e+02
3.451726732281349609e+12 8.926347481226990510e-01 2.457797065107652656e+02
3.447397107684149414e+12 8.965379304762639556e-01 2.459034173475144485e+02
3.443067859206696777e+12 9.004437796777964298e-01 2.460268676689973120e+02
3.425086108699042480e+12 9.043523151746005739e-01 2.458238614409931984e+02
3.420758810391360840e+12 9.082784324591256508e-01 2.459471052718935766e+02
3.416431892669637207e+12 9.122072939223554444e-01 2.460700884501355574e+02
3.412105356268491211e+12 9.161389190983759701e-01 2.461928114797485136e+02
3.407779201923523438e+12 9.200733274824758334e-01 2.463152748591521117e+02
3.403453430367654785e+12 9.240105385344431488e-01 2.464374790812471190e+02
3.399128042342129883e+12 9.279505716701124118e-01 2.465594246331842498e+02
3.394803038592850098e+12 9.318934462653577500e-01 2.466811119964986574e+02
3.390478419863048340e+12 9.358391816638738092e-01 2.468025416473693667e+02
3.386154186885970215e+12 9.397877971842554246e-01 2.469237140568354221e+02
3.381830340421507324e+12 9.437393120878158070e-01 2.470446296898318508e+02
3.377506881208586426e+12 9.476937456232717993e-01 2.471652890065838903e+02
3.362812363062795898e+12 9.516511169935367720e-01 2.470319911482218629e+02
3.358490616497830078e+12 9.556230855803243829e-01 2.471523756978413076e+02
3.142617979893641602e+12 9.595980465351909849e-01 2.419606256724218269e+02
3.138317234545895020e+12 9.638302097397241086e-01 2.420855679406611500e+02
3.134016922076596680e+12 9.680657725086416754e-01 2.422102266623875835e+02
3.129717043344462402e+12 9.723047578896250043e-01 2.423346023514720002e+02
3.125417599234739258e+12 9.765471888695325120e-01 2.424586955146261289e+02
3.073695615500968262e+12 9.807930884172062491e-01 2.413476133060158872e+02
3.069401919009413574e+12 9.851045971210105057e-01 2.414723449189022233e+02
